transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
birth->6m,bmi,LinearRegression,1.0666340491718014,1.4446451544258445,0.44329896907216493,0.3760082727422953,0.3671418128654971,0.3659055825488409,97
birth->6m,bmi,SVR,1.026943894706207,1.3987554946728722,0.4742268041237113,0.4411931818181818,0.42057748538011697,0.4273491214667685,97
birth->6m,bmi,MLP,1.3592042300655383,1.8840530918874832,0.3917525773195876,0.33384146341463417,0.3323830409356725,0.32482321726507773,97
birth->6m,bmi,XGBoost,1.068134499330568,1.4552667193824431,0.4845360824742268,0.4523809523809524,0.44477339181286546,0.4441287878787879,97
birth->6m,ht,LinearRegression,0.9204576884815733,1.1595311368806545,0.5257731958762887,0.4431159420289855,0.43472222222222223,0.4335550414497783,97
birth->6m,ht,SVR,0.8772276675988725,1.1512886744184485,0.5670103092783505,0.5266289996893445,0.5472222222222223,0.5090979481223384,97
birth->6m,ht,MLP,1.097119951023216,1.368122951372555,0.4948453608247423,0.41929824561403506,0.4111111111111111,0.41001221001221,97
birth->6m,ht,XGBoost,0.9069751612286513,1.193589331074746,0.6391752577319587,0.5725694444444445,0.5819444444444444,0.5738095238095238,97
birth->6m,wt,LinearRegression,0.8088091007156741,1.1425001296212736,0.3917525773195876,0.3932967032967033,0.3942573127355736,0.3931957398343953,97
birth->6m,wt,SVR,0.826108225907212,1.1495684424538124,0.31958762886597936,0.3279358572462021,0.327119941250376,0.3243729303848057,97
birth->6m,wt,MLP,1.1754555820940271,1.571033826315972,0.35051546391752575,0.35471491228070173,0.3562071985985029,0.34339022690415877,97
birth->6m,wt,XGBoost,0.7601408672315895,1.0330703137645676,0.41237113402061853,0.41464646464646465,0.41337306011219055,0.40918989547038326,97
